from,to,relation
JL,SU,1
JL,TTP,1
JL,EA,1
JL,CA,1
JL,UM,1
MT,RC,1
MT,VLC,1
MT,VZ,1
MT,LC,1
MT,SP,1
MT,VCM,1
ET,TTP,1
ET,AA,1
ET,ET,1
ET,LBA,1
HK,VU,1
HK,OS,1
HK,BS,1
IVDV,AK,1
IVDV,IBF,1
IVDV,CL,1
IVDV,RRV,1
IVDV,RC,
IVDV,CSM,1
JN,GBL,1
JN,BKS,1
JN,KPB,1
JN,SMS,1
SL,KA,1
SL,BE,1
SL,IVC,1
SL,PSU,1
MSP,BVMB,1
MSP,DSC,1
MSP,BSBC,1
MSP,STM,1
MSP,DIT,1
MSP,GHO,1
MSP,CVB,1
HJ,SLT,1
HJ,VCS,1
HD,AMSII,1
HD,BS,1
KR,UA,1
KR,BA,1
KR,LKB,1
LB,FVT,1
LB,BSPS,1
LB,VCO,1
RK,NovaB,1
RK,LPV,1
RK,LPK,1
RK,HL,1
RK,Ki,1
RK,SP,1
LG,EJMTV,1
LG,BS,1
JL,NLD,2
MT,BGR,2
ET,NLD,2
HK,GER,2
IVDV,BEL,2
JN,POL,2
SL,USA,2
MSP,ESP,2
HJ,NLD,2
HD,GER,2
KR,USA,2
LB,GER,2
RK,FIN,2
LG,GER,2